index,SAMPLE_100008_1,SAMPLE_100008_2,SAMPLE_100008_3,SAMPLE_100137_1,SAMPLE_100137_2,SAMPLE_100137_3,SAMPLE_100177_1,SAMPLE_100177_2,SAMPLE_100177_3,SAMPLE_100200_2,SAMPLE_100200_3,SAMPLE_100206_1,SAMPLE_100206_2,SAMPLE_100206_3,SAMPLE_100217_1,SAMPLE_100217_2,SAMPLE_100217_3,SAMPLE_100248_1,SAMPLE_100248_2,SAMPLE_100248_3,SAMPLE_100255_1,SAMPLE_100255_2,SAMPLE_100255_3,SAMPLE_100256_1,SAMPLE_100256_2,SAMPLE_100256_3,SAMPLE_100257_1,SAMPLE_100257_2,SAMPLE_100257_3,SAMPLE_100261_1,SAMPLE_100261_2,SAMPLE_100261_3,SAMPLE_100267_1,SAMPLE_100267_2,SAMPLE_100267_3,SAMPLE_100306_1,SAMPLE_100306_2,SAMPLE_100306_3,SAMPLE_100337_1,SAMPLE_100337_2,SAMPLE_100337_3
AB013192.1,6639.5,5730.0,13221.5,0.0,0.0,1.0,6.0,9.5,12.5,1.5,4.0,13.5,8.5,3.0,40.5,2.0,59.5,8.5,14.0,60.5,43.0,1.0,1158.5,1.0,2.0,1.0,7.0,0.0,0.5,11.5,1760.0,1071.0,3.5,9.0,1.0,0.5,0.0,4.0,0.5,13.0,0.5
AB013193.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.5,0.0,0.0,0.5,1.5,6.0,0.5,18.5,2.5,155.0,1.5,3696.5,2.5,0.0,0.0,0.0,0.0,0.5,0.0,20.5,15.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
AB013194.1,262.0,280.5,921.0,0.0,0.0,3.5,0.0,0.5,6.0,0.0,1.0,7.5,1.0,0.5,300.0,30.5,950.0,83.0,158.0,254.0,1.5,3.0,2888.5,1.0,1.0,0.0,0.0,1.0,0.0,146.0,7942.0,5530.5,4.5,1.5,5.5,2.0,0.5,3.0,7.0,12.0,0.0
AB013195.1,1045.5,1044.0,3195.0,0.5,0.0,0.0,2.0,4.0,3.0,0.0,1.0,2.5,3.5,0.5,195.0,5.5,344.5,51.0,153.0,231.0,2.0,0.5,39.5,0.0,1.0,13.5,0.5,0.0,0.0,12.5,612.5,350.5,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
AB013196.1,664.0,656.0,1719.0,0.0,0.0,2.0,3.0,1.5,1.5,0.0,1.0,3.5,2.5,1.5,3.5,0.5,3.0,193.5,640.0,814.0,0.5,2.5,5.0,0.0,0.0,0.0,0.5,0.5,0.0,62.0,8162.0,3672.0,2.0,2.5,0.5,1.5,0.0,2.0,2.5,191.5,0.0
AB013197.1,94.5,91.5,411.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,3.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB013198.1,1845.5,2242.0,6346.5,0.0,0.0,0.0,1.0,4.0,2.5,1.5,1.5,5.0,3.0,0.5,0.0,0.0,9.5,2.5,8.5,79.0,0.0,0.0,2.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
AB013199.1,1573.0,1294.0,3866.0,0.0,0.5,0.0,2.5,3.0,1.5,0.0,0.0,13.5,1.5,8.5,0.0,7.5,2.5,19.5,68.5,128.5,525.0,6.5,24393.5,13.5,0.0,882.0,3.5,0.0,1.0,0.0,0.0,10.5,0.5,0.5,0.0,10.0,0.0,1.0,0.0,0.0,0.0
AB013200.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,6.5,6.0,8.5,0.5,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB013201.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.5,3.0,2.5,21.5,17.0,0.5,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
