NAME	platelet	erythroid	neutrophil	monocyte	macrophage	myeloid prog	dendritic cell	basophil	mast cell	b cell	plasma cell	plasmablast	t cell	nk cell	ILC	HSPC	thymocyte	adventitial cell	fibroblast/mesenchymal stem cell	pericyte cell	smooth muscle cell	stromal cell	endothelial cell
ZMYND15	1.0	1.0	1.0	27.0172658859106	53.0856544293219	1.0	1.0	54.2397056927578	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZMYND19	1.0	9.95063399471715	1.0	37.7403508512667	1.0	69.9583896208513	1.0	1.0	1.0	32.7246133358027	9.50953789453034	51.7795458697227	1.0	1.0	25.8591856650269	15.1977554370092	1.0	1.0	1.0	1.0	1.0	60.6531921173112	1.0
ZMYND8	143.109980292179	160.01600359352	1.0	7.75359934958954	44.0419209058848	457.848989733774	315.161465336617	124.573302525988	259.177491164528	132.095860303576	26.7473309076822	82.775572254065	164.220176548962	81.0900944016267	87.7631584622153	258.911722442699	459.044559751844	69.9085570714976	37.9477527506813	181.579978682768	37.5814101831548	55.5881231344508	89.2486712745965
ZNF10	1.0	6.66387475075232	1.0	1.0	1.0	16.2012730434559	1.0	33.091762891346	37.7435442028646	1.0	1.0	1.0	88.5604632044485	1.0	1.0	11.600599702154	133.134380309494	34.0488934912904	15.0233203110271	20.4718722100009	1.0	1.0	1.0
ZNF100	1.0	8.00857742093381	102.381455309408	26.8714797762765	38.8002460597706	62.4071169670992	1.0	1.0	1.0	99.1985348546723	1.0	1.0	41.2177101975626	1.0	34.111330326547	37.7449541659267	1.0	7.77868854660109	18.9374738872491	12.9467589947125	1.0	1.0	21.8610373025027
ZNF101	1.0	6.09487401394221	1.0	17.9704086787088	15.570422192248	46.2741563547132	6.15875930645019	49.4545558829111	1.0	40.5033277762179	1.0	67.8989444626766	48.3200682858806	50.655071694745	82.9156576818523	1.0	76.0417663174328	19.2711396693977	1.0	1.0	1.0	1.0	12.3036035013505
ZNF106	36.3274987560034	49.3291001769287	460.771115175646	303.174145598486	133.081984346895	138.789304283427	131.125747101533	49.619336427042	35.9814863031815	147.450532287041	31.8712156005383	52.2392682354796	171.255988625856	137.989470804719	96.6312932791197	175.937589587073	127.571852246344	403.5839615552	265.900629449953	113.238034295992	188.982896156072	81.1862530293295	162.437875684753
ZNF107	1.0	5.07175539512046	1.0	1.0	1.0	29.7980406925219	1.0	1.0	1.0	109.166219564129	5.17871585738	71.4380550552188	113.704355397016	32.7354000540595	33.5634682806697	39.6595667934379	144.169864288876	1.0	13.1918362974273	8.96075336165958	1.0	1.0	1.0
ZNF112	1.0	1.0	1.0	1.0	1.0	5.98754647563591	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZNF117	1.0	1.0	186.780626958306	52.9606112421859	45.3604201021885	26.0556313384396	1.0	39.2171757835252	1.0	1.0	1.0	1.0	1.0	61.1477826692342	1.0	47.5728268453076	1.0	16.9690008415829	10.294821442924	1.0	1.0	1.0	39.4821116035161
ZNF12	1.0	11.3437247201222	1.0	63.7963190785351	21.4418432015149	35.4398071100414	24.1010903714655	56.340046479936	1.0	71.6793643061456	1.0	7.59977613101588	110.868015926602	51.2393471081128	61.799927737585	61.7077128796596	75.7552874689028	46.9342799182377	20.932006515169	55.4567452586245	107.388143437978	22.9406691255125	50.6203657067824
ZNF121	1.0	29.2447156100957	1.0	53.8252116781981	9.75566229962002	46.7684978729372	1.0	17.0122255014048	1.0	153.606948665724	8.8809781048827	1.0	1.0	1.0	74.8119185408044	63.7555310317298	72.0674879138155	14.1762684130659	39.8303139341686	7.05568856204039	11.9945569422886	17.8058579865336	43.5413885186908
